UAV_ID,Time_Step,X,Y,Z
0,0,101.83020432149296,701.6068438818867,488.1964028200003
1,0,563.3705079786014,363.663857384936,164.70875154120483
2,0,619.3917720115844,959.8337844091232,193.44185612085656
3,0,324.20925226978244,556.390562371391,467.543017951031
4,0,117.19177994052012,791.175692526827,399.55326801001314
5,0,56.04709734580749,21.579180797408824,395.0284798083668
6,0,958.402651861612,314.0845479971317,395.0105208163241
7,0,898.632000710571,266.5717223267946,122.03776614172484
8,0,456.1328157035886,805.6343222556601,223.07927392731017
9,0,0.0,820.7383215232098,230.87658664369695
0,1,56.09774766581556,686.5177838591917,500.0
1,1,564.6212728085766,355.89865064009507,164.95470323539067
2,1,598.977062977692,921.7778372442968,201.9608497174397
3,1,314.0683775268455,546.19105417907,463.131386802209
4,1,141.70486416277046,799.77370167699,387.6189013044333
5,1,57.63427476948389,18.95976333079435,395.8406975494654
6,1,982.9711449015327,325.7265737233819,385.6890864684708
7,1,868.311956301115,262.0979852388935,120.29192128759118
8,1,462.3485532555057,807.777217147477,221.22781682530194
9,1,8.172008364006327,802.1894781108199,239.34189038714294
0,2,58.369410034251665,685.8253185426931,499.2872657399969
1,2,556.8108665873992,360.8681916923229,164.9717555844136
2,2,614.7410402347402,922.2217025561387,204.18439489531082
3,2,295.231189139262,570.3776522096662,455.54637815317085
4,2,171.17584480020497,815.290901570521,401.85609018745413
5,2,57.80416221633607,38.20393244009265,390.3528387766401
6,2,951.7061701601826,317.8065855262449,396.76932990574386
7,2,874.2982657267398,249.4782829947995,121.41331089752528
8,2,495.4433783746739,813.0392953549383,212.44911816712
9,2,31.01026166489122,792.0339624992085,236.80057109131113
0,3,49.73705527237566,693.6867133408922,500.0
1,3,560.3676151217961,361.56147908737313,165.26069350561886
2,3,646.1411733627499,960.5139177449066,196.765010280776
3,3,277.43149072556344,602.9102705573416,460.79137662684946
4,3,212.30346456238368,803.9509293480901,399.48015241906216
5,3,53.605017175979945,30.81778606902676,393.2500504543437
6,3,969.2369500430301,330.4801880560362,386.1553654421511
7,3,865.2239757838336,268.8951394373125,118.05862683712041
8,3,524.7370521244035,815.8870421813843,224.10075129244703
9,3,3.3519743259815975,776.8482651307735,246.00556466127142
0,4,55.00986871390879,675.1668996725159,493.7767785865402
1,4,574.9964716728825,330.59116070357135,168.35274973717125
2,4,653.1940847785311,970.6696859839972,194.60261588149686
3,4,284.27022788884955,574.6091779617718,469.23620064686656
4,4,201.3296046247792,762.1041008139562,407.3570783803226
5,4,47.10019501302714,2.7558151422687693,379.73775798682425
6,4,978.8916855775341,377.95737762857095,383.98288482631136
7,4,881.9153986398356,261.3952673691045,123.61295251484833
8,4,520.5535017452731,811.5382681562213,224.19594871135544
9,4,39.49944065341781,811.382040875435,248.16298851802347
0,5,46.48735109707145,691.8677430399827,485.5364581609444
1,5,587.6263173003973,300.92378801009676,153.23909119262808
2,5,613.757469435974,958.9775587410033,213.68450305163532
